provinsi,tanggal,harga_prediksi
ACEH,2025-07-01,13925.149
ACEH,2025-08-01,13868.756
ACEH,2025-09-01,13888.889
ACEH,2025-10-01,13902.682
ACEH,2025-11-01,13888.359
ACEH,2025-12-01,13861.347
ACEH,2026-01-01,13808.467
ACEH,2026-02-01,13910.71
ACEH,2026-03-01,13906.597
ACEH,2026-04-01,13830.26
ACEH,2026-05-01,13871.841
ACEH,2026-06-01,13866.193
BALI,2025-07-01,15262.464
BALI,2025-08-01,15038.227
BALI,2025-09-01,15035.462
BALI,2025-10-01,14946.912
BALI,2025-11-01,14795.725
BALI,2025-12-01,14788.3
BALI,2026-01-01,14708.477
BALI,2026-02-01,14842.401
BALI,2026-03-01,15260.887
BALI,2026-04-01,15486.726
BALI,2026-05-01,15260.154
BALI,2026-06-01,15196.536
BANTEN,2025-07-01,14643.363
BANTEN,2025-08-01,14737.797
BANTEN,2025-09-01,14921.238
BANTEN,2025-10-01,14800.428
BANTEN,2025-11-01,14830.007
BANTEN,2025-12-01,14754.678
BANTEN,2026-01-01,14886.632
BANTEN,2026-02-01,14795.024
BANTEN,2026-03-01,15275.189
BANTEN,2026-04-01,15080.732
BANTEN,2026-05-01,14877.725
BANTEN,2026-06-01,14662.182
BENGKULU,2025-07-01,15274.714
BENGKULU,2025-08-01,15175.064
BENGKULU,2025-09-01,15179.983
BENGKULU,2025-10-01,15167.048
BENGKULU,2025-11-01,15152.691
BENGKULU,2025-12-01,15174.213
BENGKULU,2026-01-01,15137.099
BENGKULU,2026-02-01,15178.449
BENGKULU,2026-03-01,15717.168
BENGKULU,2026-04-01,15916.596
BENGKULU,2026-05-01,15917.435
BENGKULU,2026-06-01,15900.747
DI YOGYAKARTA,2025-07-01,14359.66
DI YOGYAKARTA,2025-08-01,14237.445
DI YOGYAKARTA,2025-09-01,14366.286
DI YOGYAKARTA,2025-10-01,14358.587
DI YOGYAKARTA,2025-11-01,14263.167
DI YOGYAKARTA,2025-12-01,14277.652
DI YOGYAKARTA,2026-01-01,14232.502
DI YOGYAKARTA,2026-02-01,14387.794
DI YOGYAKARTA,2026-03-01,14506.456
DI YOGYAKARTA,2026-04-01,14555.301
DI YOGYAKARTA,2026-05-01,14605.954
DI YOGYAKARTA,2026-06-01,14658.958
DKI JAKARTA,2025-07-01,15820.643
DKI JAKARTA,2025-08-01,15822.203
DKI JAKARTA,2025-09-01,15886.495
DKI JAKARTA,2025-10-01,15809.638
DKI JAKARTA,2025-11-01,15867.737
DKI JAKARTA,2025-12-01,15863.614
DKI JAKARTA,2026-01-01,15878.037
DKI JAKARTA,2026-02-01,15983.683
DKI JAKARTA,2026-03-01,16150.355
DKI JAKARTA,2026-04-01,16241.36
DKI JAKARTA,2026-05-01,16154.206
DKI JAKARTA,2026-06-01,16042.457
GORONTALO,2025-07-01,14911.234
GORONTALO,2025-08-01,14781.844
GORONTALO,2025-09-01,14757.797
GORONTALO,2025-10-01,14915.971
GORONTALO,2025-11-01,14809.798
GORONTALO,2025-12-01,14761.606
GORONTALO,2026-01-01,14784.83
GORONTALO,2026-02-01,14779.677
GORONTALO,2026-03-01,15001.761
GORONTALO,2026-04-01,14891.511
GORONTALO,2026-05-01,14755.072
GORONTALO,2026-06-01,14744.182
JAMBI,2025-07-01,15223.5
JAMBI,2025-08-01,15079.649
JAMBI,2025-09-01,15170.63
JAMBI,2025-10-01,15164.702
JAMBI,2025-11-01,15275.079
JAMBI,2025-12-01,15177.233
JAMBI,2026-01-01,15129.29
JAMBI,2026-02-01,15115.186
JAMBI,2026-03-01,15637.04
JAMBI,2026-04-01,15603.273
JAMBI,2026-05-01,15436.027
JAMBI,2026-06-01,15440.521
JAWA BARAT,2025-07-01,14589.81
JAWA BARAT,2025-08-01,14553.516
JAWA BARAT,2025-09-01,14518.008
JAWA BARAT,2025-10-01,14628.214
JAWA BARAT,2025-11-01,14525.894
JAWA BARAT,2025-12-01,14630.748
JAWA BARAT,2026-01-01,14614.317
JAWA BARAT,2026-02-01,14626.598
JAWA BARAT,2026-03-01,14864.351
JAWA BARAT,2026-04-01,14856.881
JAWA BARAT,2026-05-01,14742.305
JAWA BARAT,2026-06-01,14603.909
JAWA TENGAH,2025-07-01,14706.79
JAWA TENGAH,2025-08-01,14580.52
JAWA TENGAH,2025-09-01,14590.349
JAWA TENGAH,2025-10-01,14653.372
JAWA TENGAH,2025-11-01,14582.741
JAWA TENGAH,2025-12-01,14627.149
JAWA TENGAH,2026-01-01,14576.343
JAWA TENGAH,2026-02-01,14667.738
JAWA TENGAH,2026-03-01,14954.5205
JAWA TENGAH,2026-04-01,14766.755
JAWA TENGAH,2026-05-01,14657.729
JAWA TENGAH,2026-06-01,14635.446
JAWA TIMUR,2025-07-01,14304.366
JAWA TIMUR,2025-08-01,14309.915
JAWA TIMUR,2025-09-01,14301.462
JAWA TIMUR,2025-10-01,14328.599
JAWA TIMUR,2025-11-01,14297.5
JAWA TIMUR,2025-12-01,14325.522
JAWA TIMUR,2026-01-01,14219.394
JAWA TIMUR,2026-02-01,14295.449
JAWA TIMUR,2026-03-01,14507.071
JAWA TIMUR,2026-04-01,14585.866
JAWA TIMUR,2026-05-01,14545.066
JAWA TIMUR,2026-06-01,14601.157
KALIMANTAN BARAT,2025-07-01,16350.599
KALIMANTAN BARAT,2025-08-01,16405.227
KALIMANTAN BARAT,2025-09-01,16460.738
KALIMANTAN BARAT,2025-10-01,16488.602
KALIMANTAN BARAT,2025-11-01,16475.309
KALIMANTAN BARAT,2025-12-01,16480.988
KALIMANTAN BARAT,2026-01-01,16478.855
KALIMANTAN BARAT,2026-02-01,16459.576
KALIMANTAN BARAT,2026-03-01,16796.719
KALIMANTAN BARAT,2026-04-01,16608.21
KALIMANTAN BARAT,2026-05-01,16476.652
KALIMANTAN BARAT,2026-06-01,16465.105
KALIMANTAN SELATAN,2025-07-01,17107.932
KALIMANTAN SELATAN,2025-08-01,17118.373
KALIMANTAN SELATAN,2025-09-01,17299.602
KALIMANTAN SELATAN,2025-10-01,17174.32
KALIMANTAN SELATAN,2025-11-01,17213.814
KALIMANTAN SELATAN,2025-12-01,17130.82
KALIMANTAN SELATAN,2026-01-01,17062.504
KALIMANTAN SELATAN,2026-02-01,16715.436
